B,M
Expository,Expository
Interrogative,Interrogative
Expository,Expository
Expository,Expository
Persuasive / Argumentative,Persuasive / Argumentative
Expository,Expository
Expository,Expository
Interrogative,Interrogative
Interrogative,Interrogative
Expository,Expository
Expository,Expository
Expository,Expository
Persuasive / Argumentative,Persuasive / Argumentative
Persuasive / Argumentative,Persuasive / Argumentative
Expository,Expository
Interrogative,Interrogative
Expository,Expository
Persuasive / Argumentative,Persuasive / Argumentative
Expository,Expository
Expository,Expository
Expository,Expository
Expository,Expository
Expository,Expository
Expository,Expository
Expository,Expository
Expository,Expository
Expository,Expository
Expository,Expository
Expository,Expository
Interrogative,Interrogative
Interrogative,Interrogative
Expository,Expository
Interrogative,Interrogative
Expository,Expository
Expository,Expository
Expository,Expository
Expository,Expository
Expository,Expository
Expository,Expository
Expository,Expository
