Dataset,URL,File
Statmt-commoncrawl_wmt13-1-deu-eng,http://www.statmt.org/wmt13/training-parallel-commoncrawl.tgz,commoncrawl.de-en.de,commoncrawl.de-en.en
Statmt-commoncrawl_wmt13-1-ces-eng,http://www.statmt.org/wmt13/training-parallel-commoncrawl.tgz,commoncrawl.cs-en.cs,commoncrawl.cs-en.en
Statmt-commoncrawl_wmt13-1-fra-eng,http://www.statmt.org/wmt13/training-parallel-commoncrawl.tgz,commoncrawl.fr-en.fr,commoncrawl.fr-en.en
Statmt-commoncrawl_wmt13-1-rus-eng,http://www.statmt.org/wmt13/training-parallel-commoncrawl.tgz,commoncrawl.ru-en.ru,commoncrawl.ru-en.en
Statmt-commoncrawl_wmt13-1-spa-eng,http://www.statmt.org/wmt13/training-parallel-commoncrawl.tgz,commoncrawl.es-en.es,commoncrawl.es-en.en
Statmt-europarl_wmt13-7-ces-eng,http://www.statmt.org/wmt13/training-parallel-europarl-v7.tgz,training/europarl-v7.cs-en.cs,training/europarl-v7.cs-en.en
Statmt-europarl_wmt13-7-deu-eng,http://www.statmt.org/wmt13/training-parallel-europarl-v7.tgz,training/europarl-v7.de-en.de,training/europarl-v7.de-en.en
Statmt-europarl_wmt13-7-fra-eng,http://www.statmt.org/wmt13/training-parallel-europarl-v7.tgz,training/europarl-v7.fr-en.fr,training/europarl-v7.fr-en.en
Statmt-europarl_wmt13-7-spa-eng,http://www.statmt.org/wmt13/training-parallel-europarl-v7.tgz,training/europarl-v7.es-en.es,training/europarl-v7.es-en.en
Statmt-news_commentary_wmt18-13-ces-eng,http://data.statmt.org/wmt18/translation-task/training-parallel-nc-v13.tgz,training-parallel-nc-v13/news-commentary-v13.cs-en.cs,training-parallel-nc-v13/news-commentary-v13.cs-en.en
Statmt-news_commentary_wmt18-13-deu-eng,http://data.statmt.org/wmt18/translation-task/training-parallel-nc-v13.tgz,training-parallel-nc-v13/news-commentary-v13.de-en.de,training-parallel-nc-v13/news-commentary-v13.de-en.en
Statmt-news_commentary_wmt18-13-rus-eng,http://data.statmt.org/wmt18/translation-task/training-parallel-nc-v13.tgz,training-parallel-nc-v13/news-commentary-v13.ru-en.ru,training-parallel-nc-v13/news-commentary-v13.ru-en.en
Statmt-news_commentary_wmt18-13-zho-eng,http://data.statmt.org/wmt18/translation-task/training-parallel-nc-v13.tgz,training-parallel-nc-v13/news-commentary-v13.zh-en.zh,training-parallel-nc-v13/news-commentary-v13.zh-en.en
Statmt-europarl-9-deu-eng,http://www.statmt.org/europarl/v9/training/europarl-v9.de-en.tsv.gz,
Statmt-europarl-9-ces-eng,http://www.statmt.org/europarl/v9/training/europarl-v9.cs-en.tsv.gz,
Statmt-europarl-9-fin-eng,http://www.statmt.org/europarl/v9/training/europarl-v9.fi-en.tsv.gz,
Statmt-europarl-9-lit-eng,http://www.statmt.org/europarl/v9/training/europarl-v9.lt-en.tsv.gz,
Statmt-europarl-7-bul-eng,http://www.statmt.org/europarl/v7/bg-en.tgz,europarl-v7.bg-en.bg,europarl-v7.bg-en.en
Statmt-europarl-7-ces-eng,http://www.statmt.org/europarl/v7/cs-en.tgz,europarl-v7.cs-en.cs,europarl-v7.cs-en.en
Statmt-europarl-7-dan-eng,http://www.statmt.org/europarl/v7/da-en.tgz,europarl-v7.da-en.da,europarl-v7.da-en.en
Statmt-europarl-7-deu-eng,http://www.statmt.org/europarl/v7/de-en.tgz,europarl-v7.de-en.de,europarl-v7.de-en.en
Statmt-europarl-7-ell-eng,http://www.statmt.org/europarl/v7/el-en.tgz,europarl-v7.el-en.el,europarl-v7.el-en.en
Statmt-europarl-7-spa-eng,http://www.statmt.org/europarl/v7/es-en.tgz,europarl-v7.es-en.es,europarl-v7.es-en.en
Statmt-europarl-7-est-eng,http://www.statmt.org/europarl/v7/et-en.tgz,europarl-v7.et-en.et,europarl-v7.et-en.en
Statmt-europarl-7-fin-eng,http://www.statmt.org/europarl/v7/fi-en.tgz,europarl-v7.fi-en.fi,europarl-v7.fi-en.en
Statmt-europarl-7-fra-eng,http://www.statmt.org/europarl/v7/fr-en.tgz,europarl-v7.fr-en.fr,europarl-v7.fr-en.en
Statmt-europarl-7-hun-eng,http://www.statmt.org/europarl/v7/hu-en.tgz,europarl-v7.hu-en.hu,europarl-v7.hu-en.en
Statmt-europarl-7-ita-eng,http://www.statmt.org/europarl/v7/it-en.tgz,europarl-v7.it-en.it,europarl-v7.it-en.en
Statmt-europarl-7-lit-eng,http://www.statmt.org/europarl/v7/lt-en.tgz,europarl-v7.lt-en.lt,europarl-v7.lt-en.en
Statmt-europarl-7-lav-eng,http://www.statmt.org/europarl/v7/lv-en.tgz,europarl-v7.lv-en.lv,europarl-v7.lv-en.en
Statmt-europarl-7-nld-eng,http://www.statmt.org/europarl/v7/nl-en.tgz,europarl-v7.nl-en.nl,europarl-v7.nl-en.en
Statmt-europarl-7-pol-eng,http://www.statmt.org/europarl/v7/pl-en.tgz,europarl-v7.pl-en.pl,europarl-v7.pl-en.en
Statmt-europarl-7-por-eng,http://www.statmt.org/europarl/v7/pt-en.tgz,europarl-v7.pt-en.pt,europarl-v7.pt-en.en
Statmt-europarl-7-ron-eng,http://www.statmt.org/europarl/v7/ro-en.tgz,europarl-v7.ro-en.ro,europarl-v7.ro-en.en
