B,M
Descriptive,Descriptive
Expository,Expository
Interrogative,Persuasive / Argumentative
Interrogative,Interrogative
Narrative,Narrative
Expository,Descriptive
Persuasive / Argumentative,Narrative
Persuasive / Argumentative,Expository
Narrative,Narrative
Descriptive,Descriptive
Expository,Descriptive
Persuasive / Argumentative,Expository
Narrative,Narrative
Interrogative,Interrogative
Persuasive / Argumentative,Narrative
Expository,Descriptive
Persuasive / Argumentative,Interrogative
Narrative,Narrative
Persuasive / Argumentative,Persuasive / Argumentative
Narrative,Narrative
Persuasive / Argumentative,Persuasive / Argumentative
Narrative,Narrative
Persuasive / Argumentative,Expository
Persuasive / Argumentative,Persuasive / Argumentative
Narrative,Persuasive / Argumentative
Narrative,Persuasive / Argumentative
Persuasive / Argumentative,Persuasive / Argumentative
Interrogative,Interrogative
Interrogative,Interrogative
Interrogative,Interrogative
Interrogative,Interrogative
Expository,Expository
Persuasive / Argumentative,Persuasive / Argumentative
Narrative,Narrative
Narrative,Persuasive / Argumentative
Expository,Expository
Interrogative,Instructional
Interrogative,Interrogative
Expository,Expository
Persuasive / Argumentative,Persuasive / Argumentative
Narrative,Narrative
Narrative,Narrative
Narrative,Narrative
Narrative,Narrative
Expository,Narrative
Narrative,Narrative
Narrative,Narrative
Narrative,Narrative
Narrative,Narrative
Narrative,Narrative
